date,issue,num_1,num_2,num_3,num_4,num_5,num_6,num_7,cost,one,two
2021-01-10,2021004,2,3,7,8,17,22,15,87713569,2,208
2021-01-07,2021003,6,9,16,18,22,29,11,4541506,5,136
2021-01-05,2021002,6,10,13,25,26,32,11,4447347,10,185
2021-01-03,2021001,2,3,13,18,20,31,11,42507111,10,126
2020-12-31,2020134,2,9,10,20,22,26,1,23556599,48,275
2020-12-29,2020133,3,19,22,23,27,29,7,22203307,3,99
2020-12-27,2020132,1,4,11,12,14,23,4,69447152,5,106
2020-12-24,2020131,8,19,22,26,27,30,7,49307349,10,139
2020-12-22,2020130,8,9,11,14,17,29,16,43058050,9,160
2020-12-20,2020129,1,2,5,15,28,33,4,81345382,14,116
2020-12-17,2020128,8,10,15,16,23,26,10,46849059,14,137
2020-12-15,2020127,1,4,18,19,26,31,7,83288258,9,183
2020-12-13,2020126,3,7,12,14,23,28,11,84972832,33,337
2020-12-10,2020125,5,12,16,26,30,31,13,46084230,8,162
2020-12-08,2020124,16,18,19,20,29,33,12,40676349,3,53
2020-12-06,2020123,1,3,18,19,26,29,3,82677224,5,106
2020-12-03,2020122,12,15,17,24,26,31,15,43405061,7,484
2020-12-01,2020121,2,4,6,21,25,29,3,83051652,5,91
2020-11-29,2020120,1,2,3,4,9,10,12,46688707,28,535
2020-11-26,2020119,1,9,22,28,32,33,15,65587923,12,117
2020-11-24,2020118,11,13,19,26,30,33,5,85386991,4,114
2020-11-22,2020117,7,8,9,10,16,27,7,45954106,19,225
2020-11-19,2020116,5,6,14,16,19,27,10,46543243,9,172
2020-11-17,2020115,1,4,12,20,25,32,2,45263753,2,114
2020-11-15,2020114,1,5,11,24,30,32,3,82105467,16,171
2020-11-12,2020113,1,3,7,10,22,32,11,86817463,7,114
2020-11-10,2020112,2,9,12,17,28,32,5,84401962,14,263
2020-11-08,2020111,6,9,17,22,24,26,16,47296495,3,106
2020-11-05,2020110,2,6,9,14,22,25,4,66105156,9,102
2020-11-03,2020109,6,13,16,20,23,32,13,88139585,23,133
2020-11-01,2020108,10,12,15,17,23,32,5,49792189,18,123
2020-10-29,2020107,3,9,11,24,25,28,16,4799027,5,185
2020-10-27,2020106,2,4,11,15,18,28,10,64915126,14,123
2020-10-25,2020105,6,14,19,20,22,24,1,81731599,6,117
2020-10-22,2020104,4,8,10,16,27,29,9,82096017,9,102
2020-10-20,2020103,4,9,10,22,28,32,8,41666536,13,136
2020-10-18,2020102,9,10,19,25,26,29,8,86601858,73,472
2020-10-15,2020101,10,17,24,25,28,30,15,21137006,7,109
2020-10-13,2020100,1,7,15,16,20,23,7,46358725,9,119
2020-10-11,2020099,5,6,11,12,15,30,12,5804609,7,258
2020-10-08,2020098,6,8,11,22,25,33,2,3158574,7,172
2020-10-06,2020097,2,8,21,25,26,30,10,66527325,22,418
2020-09-29,2020096,1,20,23,26,27,32,15,26278765,8,57
2020-09-27,2020095,3,9,16,17,20,26,2,80126078,6,283
2020-09-24,2020094,10,15,17,27,29,31,8,21434075,2,57
2020-09-22,2020093,4,5,10,13,15,19,15,29647846,4,110
2020-09-20,2020092,1,6,12,18,22,24,3,85541749,6,160
2020-09-17,2020091,1,9,11,12,16,19,16,42470326,11,120
2020-09-15,2020090,2,21,23,26,31,32,6,62700275,6,43
